animal,adjective
Aardvark,abandoned
Aardwolf,able
Albatross,absolute
Alligator,academic
Alpaca,acceptable
Anaconda,acclaimed
Angelfish,accomplished
Anglerfish,accurate
Ant,aching
Anteater,acrobatic
Antelope,active
Ape,actual
Aphid,adept
Armadillo,admirable
Baboon,admired
Badger,adolescent
Bald eagle,adorable
Bandicoot,adored
Barnacle,advanced
Barracuda,adventurous
Bat,affectionate
Bear,afraid
Bedbug,aged
Bee,aggravating
Beetle,aggressive
Bird,aggressive
Bison,agile
Blackbird,agitated
Blue bird,agonizing
Blue jay,agreeable
Blue whale,alarmed
Boa,alarming
Boar,alert
Bobcat,alert
buffalo,alienated
Bug,altruistic
Butterfly,amazing
Buzzard,ambitious
Camel,amused
Capybara,amusing
Cardinal,anchored
Caribou,ancient
Carp,ancient
Cat,angelic
Cat,angry
Caterpillar,anguished
Catfish,animated
Centipede,annual
Chameleon,antique
Cheetah,anxious
Chickadee,anxious
Chicken,apprehensive
Chimpanzee,appropriate
Chinchilla,arctic
Chipmunk,arid
Clam,artistic
Clownfish,assured
Cobra,astonishing
Condor,athletic
Coral,attentive
Cougar,attractive
Cow,attractive
Coyote,austere
Crane,authentic
Crawdad,authorized
Crayfish,automatic
Cricket,average
Crocodile,average
Crow,awesome
Deer,awful
Dingo,awkward
Dinosaur,bad
Dog,bad
Dog,bare
Dolphin,basic
Dormouse,beautiful
Dove,beautiful
Dragon,beige
Dragonfly,belated
Duck,beloved
Duck,beneficial
Eagle,best
Earthworm,better
Earwig,bewitched
Echidna,big
Eel,big
Egret,bitter
elephant,black
Elephant,blaring
Elk,bleak
Emu,blind
Falcon,blissful
Ferret,blond
Finch,blue
Firefly,blue
Flamingo,blushing
Fox,bogus
Frog,boiling
Gazelle,bold
Gecko,bony
Gerbil,boring
Giraffe,bossy
Goat,bouncy
Goldfish,bountiful
Goose,bowed
Goose,brave
Gopher,breakable
Gorilla,brief
Grasshopper,bright
Grizzly bear,brilliant
Guinea pig,brisk
Guinea pig,bronze
Gull,brown
Guppy,bubbly
Hamster,bulky
Hawk,bumpy
Hedgehog,bumpy
Hermit crab,buoyant
Heron,burdensome
Hippopotamus,burly
Hornet,bustling
Horse,busy
Horse,busy
Hummingbird,buttery
Hyena,buzzing
Iguana,calculating
Impala,calm
Jackal,candid
Jaguar,canine
Jellyfish,capital
Kangaroo,carefree
Koala,careful
Komodo dragon,careful
Krill,careless
Ladybug,caring
Lemming,cautious
Lemur,celebrated
Leopard,charming
Lizard,cheap
Llama,cheerful
Lobster,cheery
Locust,chief
Lynx,chilly
Manatee,chubby
Manta ray,clean
Marlin,clear
Mastodon,clever
Meerkat,clueless
Mink,clumsy
Mole,cold
Mongoose,cold
Monkey,colorful
Moose,colossal
Mosquito,combative
Moth,common
Mouse,compassionate
Mule,competent
Narwhal,complex
Newt,complicated
Ocelot,concerned
Octopus,concrete
Opossum,confused
Orangutan,conscious
Orca,considerate
Ostrich,content
Otter,conventional
Owl,cool
Ox,cooperative
Panda,coordinated
Panda,corny
Panther,corrupt
Parakeet,costly
Parrot,cotton
Parrotfish,courageous
Partridge,courteous
Peacock,crafty
Peafowl,crazy
Pelican,creative
Penguin,creepy
Pig,crisp
Pigeon,critical
Piranha,crooked
Platypus,cruel
Polar bear,crushing
Pony,cuddly
Porcupine,cultivated
Prairie dog,cultured
Praying mantis,cumbersome
Puffin,curly
Puma,curvy
Python,cute
Quail,damp
Rabbit,dangerous
Raccoon,dangerous
Rat,dapper
Rattlesnake,daring
Raven,dark
Reindeer,darling
Rhinoceros,dazzling
Roadrunner,deadly
robin,deafening
Rooster,dear
Salamander,decent
Salmon,decisive
Scorpion,deep
Sea lion,defenseless
Seahorse,defensive
Shark,defiant
Sheep,deficient
Shrimp,definite
Sloth,definitive
Slug,delayed
Snail,delectable
Snake,delicious
Spider,delicious
Squid,delightful
Squirrel,demanding
Starfish,dependable
Stingray,dependent
Stork,descriptive
Swan,deserted
Swordfish,detailed
Tapir,determined
Tarantula,devoted
Tiger,difficult
Toad,digital
Tortoise,diligent
Toucan,dim
Trout,dimpled
Tuna,dimwitted
Turkey,direct
Turtle,dirty
Viper,disastrous
Vulture,discrete
Wallaby,disfigured
Walrus,disguised
Wasp,disgusting
Water buffalo,dishonest
Weasel,disloyal
Whale,dismal
Wildebeest,distant
Wolf,distinct
Wolverine,distorted
Wombat,dizzy
Yak,dopey
Zebra,doting
,double
,downright
,drab
,drafty
,dramatic
,dreary
,droopy
,dry
,dry
,dual
,dull
,dull
,dusty
,dutiful
,each
,eager
,early
,earnest
,easy
,easy-going
,ecstatic
,educated
,elaborate
,elastic
,elated
,elderly
,elderly
,electric
,elegant
,elementary
,embarrassed
,embellished
,eminent
,emotional
,enchanted
,enchanting
,energetic
,enlightened
,enormous
,enraged
,envious
,equal
,essential
,esteemed
,ethical
,everlasting
,evil
,exalted
,excellent
,excitable
,excited
,excited
,exciting
,exemplary
,exhausted
,exotic
,expensive
,expensive
,experienced
,expert
,extra-large
,extra-small
,extraneous
,extroverted
,fabulous
,failing
,faint
,fair
,faithful
,fake
,familiar
,famous
,fancy
,fancy
,fantastic
,far
,far-flung
,far-off
,faraway
,fast
,fatal
,fatherly
,favorable
,favorite
,fearful
,fearless
,feisty
,fickle
,fine
,finished
,firm
,first
,firsthand
,fitting
,fixed
,flaky
,flashy
,flat
,flawed
,flawless
,flickering
,flimsy
,flippant
,flowery
,fluffy
,fluid
,flustered
,focused
,fond
,foolhardy
,foolish
,forceful
,forked
,formal
,forsaken
,fortunate
,frail
,frayed
,free
,frequent
,fresh
,fresh
,friendly
,frightened
,frightening
,frigid
,frilly
,frivolous
,frizzy
,front
,frosty
,frozen
,frugal
,fruitful
,full
,fumbling
,functional
,funny
,fuzzy
,fuzzy
,gargantuan
,generous
,gentle
,genuine
,giant
,giddy
,gifted
,gigantic
,giving
,glamorous
,glaring
,glass
,gleaming
,gleeful
,glistening
,glittering
,gloomy
,glorious
,glossy
,glum
,golden
,good
,good-natured
,gorgeous
,graceful
,graceful
,gracious
,grand
,grandiose
,granite
,granular
,grateful
,grave
,gray
,great
,greedy
,green
,green
,gregarious
,grim
,grimy
,gripping
,grizzled
,gross
,grotesque
,grouchy
